Ammeter,T1W1,1I,Positive polarity towards (cell) = 1J
Ammeter,T1W2,1N,Positive polarity towards (cell) = 2N
Ammeter,T1W4,19I,Positive polarity towards (cell) = 19J
Ammeter,T1W3,19N,Positive polarity towards (cell) = 20N
Ammeter,T1W5,36I,Positive polarity towards (cell) = 36J
Ammeter,T1W6,36N,Positive polarity towards (cell) = 37N
Voltmeter,T1W1,7G,Rated voltage level to be measured = 20000.0,Positive polarity towards (cell) = 6G
Voltmeter,T1W2,7Q,Rated voltage level to be measured = 20000.0,Positive polarity towards (cell) = 6Q
Voltmeter,T1W4,25G,Rated voltage level to be measured = 20000.0,Positive polarity towards (cell) = 24G
Voltmeter,T1W3,25Q,Rated voltage level to be measured = 20000.0,Positive polarity towards (cell) = 24Q
Voltmeter,T1W5,42G,Rated voltage level to be measured = 20000.0,Positive polarity towards (cell) = 41G
Voltmeter,T1W6,42Q,Rated voltage level to be measured = 20000.0,Positive polarity towards (cell) = 41Q
VariableResistor,T1W1output,4K,Initial resistance = 100.0,Name of control signal = ResistanceT1W1output
VariableResistor,T1W2output,4N,Initial resistance = 100.0,Name of control signal = ResistanceT1W2output
VariableResistor,T1W1Rc,7D,Initial resistance = 100.0,Name of control signal = ResistanceT1W1Rc
VariableResistor,T1W2Rc,7T,Initial resistance = 100.0,Name of control signal = ResistanceT1W2Rc
VariableResistor,T1W4output,22K,Initial resistance = 100.0,Name of control signal = ResistanceT1W4output
VariableResistor,T1W3output,22N,Initial resistance = 100.0,Name of control signal = ResistanceT1W3output
VariableResistor,T1W4Rc,25D,Initial resistance = 100.0,Name of control signal = ResistanceT1W4Rc
VariableResistor,T1W3Rc,25T,Initial resistance = 100.0,Name of control signal = ResistanceT1W3Rc
VariableResistor,T1W5output,39K,Initial resistance = 100.0,Name of control signal = ResistanceT1W5output
VariableResistor,T1W6output,39N,Initial resistance = 100.0,Name of control signal = ResistanceT1W6output
VariableResistor,T1W5Rc,42D,Initial resistance = 100.0,Name of control signal = ResistanceT1W5Rc
VariableResistor,T1W6Rc,42T,Initial resistance = 100.0,Name of control signal = ResistanceT1W6Rc
ControlledVoltageSource,T1W1output,8K,Positive polarity towards (cell) = 7K,Name of control signal = VoltageT1W1output
ControlledVoltageSource,T1W2output,8N,Positive polarity towards (cell) = 7N,Name of control signal = VoltageT1W2output
ControlledVoltageSource,T1W4output,26K,Positive polarity towards (cell) = 25K,Name of control signal = VoltageT1W4output
ControlledVoltageSource,T1W3output,26N,Positive polarity towards (cell) = 25N,Name of control signal = VoltageT1W3output
ControlledVoltageSource,T1W5output,43K,Positive polarity towards (cell) = 42K,Name of control signal = VoltageT1W5output
ControlledVoltageSource,T1W6output,43N,Positive polarity towards (cell) = 42N,Name of control signal = VoltageT1W6output
